country,date,total
Afghanistan,2021-01-01,52513
Afghanistan,2022-01-01,158107
Afghanistan,2021-01-10,53489
Afghanistan,2022-01-10,158394
Afghanistan,2021-01-11,53538
Afghanistan,2022-01-11,158471
Afghanistan,2021-01-12,53584
Afghanistan,2022-01-12,158511
Afghanistan,2021-01-13,53690
Afghanistan,2022-01-13,158602
Afghanistan,2021-01-14,53775
Afghanistan,2022-01-14,158639
Afghanistan,2021-01-15,53831
Afghanistan,2022-01-15,158678
Afghanistan,2021-01-16,53938
Afghanistan,2022-01-16,158717
Afghanistan,2021-01-17,53984
Afghanistan,2022-01-17,158826
Afghanistan,2021-01-18,54062
Afghanistan,2022-01-18,158974
Afghanistan,2021-01-19,54141
Afghanistan,2022-01-19,159070
Afghanistan,2021-01-02,52586
Afghanistan,2022-01-02,158189
Afghanistan,2021-01-20,54278
Afghanistan,2022-01-20,159303
Afghanistan,2021-01-21,54403
Afghanistan,2022-01-21,159516
Afghanistan,2020-01-22,0
Afghanistan,2021-01-22,54483
Afghanistan,2022-01-22,159548
Afghanistan,2020-01-23,0
Afghanistan,2021-01-23,54559
Afghanistan,2022-01-23,159649
Afghanistan,2020-01-24,0
Afghanistan,2021-01-24,54595
Afghanistan,2022-01-24,159896
Afghanistan,2020-01-25,0
Afghanistan,2021-01-25,54672
Afghanistan,2022-01-25,160252
Afghanistan,2020-01-26,0
Afghanistan,2021-01-26,54750
Afghanistan,2022-01-26,160692
Afghanistan,2020-01-27,0
Afghanistan,2021-01-27,54854
Afghanistan,2022-01-27,161004
Afghanistan,2020-01-28,0
Afghanistan,2021-01-28,54891
Afghanistan,2022-01-28,161057
Afghanistan,2020-01-29,0
Afghanistan,2021-01-29,54939
Afghanistan,2022-01-29,161290
Afghanistan,2021-01-03,52709
Afghanistan,2022-01-03,158183
Afghanistan,2020-01-30,0
Afghanistan,2021-01-30,55008
Afghanistan,2022-01-30,162111
Afghanistan,2020-01-31,0
Afghanistan,2021-01-31,55023
Afghanistan,2022-01-31,162926
Afghanistan,2021-01-04,52909
Afghanistan,2022-01-04,158205
Afghanistan,2021-01-05,53011
Afghanistan,2022-01-05,158245
Afghanistan,2021-01-06,53105
Afghanistan,2022-01-06,158275
Afghanistan,2021-01-07,53207
Afghanistan,2022-01-07,158300
Afghanistan,2021-01-08,53332
Afghanistan,2022-01-08,158309
Afghanistan,2021-01-09,53400
Afghanistan,2022-01-09,158381
Afghanistan,2020-10-01,39371
Afghanistan,2021-10-01,155191
Afghanistan,2020-10-10,39789
Afghanistan,2021-10-10,155508
Afghanistan,2020-10-11,39885
Afghanistan,2021-10-11,155540
Afghanistan,2020-10-12,39956
Afghanistan,2021-10-12,155599
Afghanistan,2020-10-13,40014
Afghanistan,2021-10-13,155627
Afghanistan,2020-10-14,40080
Afghanistan,2021-10-14,155682
Afghanistan,2020-10-15,40112
Afghanistan,2021-10-15,155688
Afghanistan,2020-10-16,40159
Afghanistan,2021-10-16,155739
Afghanistan,2020-10-17,40227
Afghanistan,2021-10-17,155764
Afghanistan,2020-10-18,40286
Afghanistan,2021-10-18,155776
Afghanistan,2020-10-19,40373
Afghanistan,2021-10-19,155801
Afghanistan,2020-10-02,39376
Afghanistan,2021-10-02,155191
Afghanistan,2020-10-20,40461
Afghanistan,2021-10-20,155859
Afghanistan,2020-10-21,40461
Afghanistan,2021-10-21,155891
Afghanistan,2020-10-22,40510
Afghanistan,2021-10-22,155931
Afghanistan,2020-10-23,40626
Afghanistan,2021-10-23,155940
Afghanistan,2020-10-24,40687
Afghanistan,2021-10-24,155944
Afghanistan,2020-10-25,40768
Afghanistan,2021-10-25,156040
Afghanistan,2020-10-26,40833
Afghanistan,2021-10-26,156071
Afghanistan,2020-10-27,40937
Afghanistan,2021-10-27,156124
Afghanistan,2020-10-28,41032
Afghanistan,2021-10-28,156166
Afghanistan,2020-10-29,41145
Afghanistan,2021-10-29,156196
Afghanistan,2020-10-03,39383
Afghanistan,2021-10-03,155191
Afghanistan,2020-10-30,41268
Afghanistan,2021-10-30,156210
Afghanistan,2020-10-31,41334
Afghanistan,2021-10-31,156250
Afghanistan,2020-10-04,39427
Afghanistan,2021-10-04,155287
Afghanistan,2020-10-05,39508
Afghanistan,2021-10-05,155309
